word,history,part_of_speech
atila,,
atino,,substantivo masculino
atire,,
atiro,,
ativa,,substantivo feminino
ative,,
ativo,,adjetivo
atlas,,substantivo masculino
atomo,,substantivo masculino
atoni,,
atono,,adjetivo
atras,,adverbio
atreu,,
atril,,substantivo masculino
atrio,,substantivo masculino
atriz,,substantivo feminino
atroa,,
atroo,,substantivo deverbal
atros,,
atroz,,adjetivo
atuai,,
atual,,adjetivo
atuam,,
atuar,,verbo transitivo indireto predicativo e intransitivo
atuas,,
atuei,,
atuem,,
atues,,
atuou,,
atxim,,
aucao,,substantivo feminino
audaz,,adjetivo
audio,,substantivo masculino
auete,,
aueti,,
aurea,,adjetivo
aureo,,adjetivo
aurir,,verbo intransitivo
autor,,substantivo masculino
autos,,substantivo masculino plural
avais,,
avara,,
avare,,
avaro,,adjetivo
avati,,substantivo feminino
aveia,,substantivo feminino
avela,,substantivo feminino
avena,,substantivo feminino
aviao,,substantivo masculino
aviar,,verbo transitivo direto
avido,,adjetivo
avisa,,
avise,,
aviso,,substantivo masculino
aweti,,
axila,,substantivo feminino
axixa,,
azado,,adjetivo
azare,,
azedo,,adjetivo
azeri,,
azimo,,substantivo masculino
azoai,,
azoam,,
azoar,,verbo transitivo
azoas,,
azoei,,
azoem,,
azoes,,
azoou,,
azoto,,substantivo masculino
azuis,,
azule,,
azulo,,
babai,,
babam,,
babao,,substantivo masculino
babas,,
babau,,interjeicao
babei,,
babel,,
babem,,
babes,,
babou,,
bacar,,substantivo masculino
bacia,,substantivo feminino
bacio,,substantivo masculino
bacon,,substantivo masculino
badio,,
baeta,,substantivo feminino
bafar,,verbo intransitivo
bafio,,substantivo masculino
bagoa,,
bagre,,substantivo masculino
bagua,,substantivo masculino
bahia,,substantivo feminino
baiao,,substantivo masculino
baiar,,verbo intransitivo
baila,,substantivo feminino
baile,,substantivo masculino
bailo,,substantivo masculino
baita,,adjetivo
baite,,
baixa,,substantivo feminino
baixe,,
baixo,,adjetivo
balao,,substantivo masculino
balar,,verbo intransitivo
balas,,
balbo,,adjetivo
balda,,substantivo feminino
balde,,substantivo masculino
bales,,
balga,,feminino
balho,,substantivo masculino
balir,,verbo intransitivo
baliu,,
balor,,
balsa,,substantivo feminino
bamba,,adjetivo
bambe,,substantivo masculino
bambi,,
bambo,,adjetivo
bambu,,substantivo masculino
banal,,adjetivo
banca,,substantivo feminino
banco,,substantivo masculino
banda,,substantivo feminino
bande,,
bando,,substantivo masculino
banga,,substantivo feminino
bango,,substantivo masculino
banha,,substantivo feminino
banho,,substantivo masculino
banir,,verbo transitivo direto
banjo,,substantivo masculino
banto,,substantivo masculino
bantu,,
banza,,substantivo feminino
banze,,substantivo masculino
banzo,,substantivo masculino
baoba,,substantivo masculino
barao,,substantivo masculino
barba,,substantivo feminino
barbo,,substantivo masculino
barca,,substantivo feminino
barco,,substantivo masculino
barda,,substantivo feminino
bardo,,substantivo masculino
barem,,adjetivo masculino e feminino
barga,,substantivo feminino
bario,,substantivo masculino
barra,,substantivo feminino
barre,,
barro,,substantivo masculino
basaa,,
basal,,adjetivo
basca,,
basco,,"adjetivo, substantivo masculino"
bases,,
basse,,substantivo masculino
basta,,substantivo feminino
baste,,substantivo masculino
basto,,adjetivo
batch,,
batel,,substantivo masculino
bater,,verbo transitivo direto
batom,,substantivo feminino
baton,,
bauru,,substantivo masculino
bazar,,substantivo masculino
beaba,,substantivo masculino
beata,,substantivo masculino
beato,,adjetivo
bebas,,
bebem,,
beber,,verbo transitivo direto
bebeu,,
bebum,,adjetivo
becas,,
becha,,
beche,,
bedel,,substantivo masculino
beico,,substantivo masculino
beige,,
beija,,substantivo masculino
beije,,
beijo,,substantivo masculino
beiju,,substantivo masculino
beira,,substantivo feminino
beiro,,substantivo masculino
beita,,
belas,,
belem,,substantivo masculino
belga,,"adjetivo, substantivo masculino e feminino"
belos,,
bemba,,adjetivo masculino e feminino
bemol,,substantivo masculino
benga,,
benim,,
benin,,
bento,,adjetivo
beque,,substantivo masculino
berca,,substantivo feminino
berce,,
berco,,substantivo masculino
berma,,substantivo feminino
berna,,
berro,,substantivo masculino
besta,,substantivo feminino
beste,,
besto,,
betao,,substantivo masculino
betar,,verbo transitivo
betim,,
bhili,,
biana,,substantivo feminino
biari,,
bical,,adjetivo
bicar,,verbo transitivo
bicas,,substantivo feminino plural
bicha,,substantivo feminino
bicho,,substantivo masculino
bicla,,
bicos,,
biduo,,substantivo masculino
biela,,substantivo feminino
bifar,,verbo transitivo
bigle,,substantivo masculino
bigue,,
bijou,,
bilac,,
bilar,,
biles,,
bilha,,substantivo feminino
bilis,,substantivo feminino
bilro,,substantivo masculino
bimba,,substantivo feminino
bimbe,,
bimbo,,
binar,,verbo intransitivo
binga,,substantivo masculino e feminino
bingo,,substantivo masculino
bioco,,substantivo masculino
bioma,,substantivo masculino
biota,,substantivo feminino
bipes,,
birao,,
birra,,substantivo feminino
bisai,,
bisam,,
bisao,,substantivo masculino
bisar,,verbo transitivo
bisas,,
bisca,,substantivo feminino
bisei,,
bisel,,substantivo masculino
bisem,,
bises,,
bisou,,
bispa,,
bispo,,substantivo masculino
bitar,,verbo transitivo
bivio,,substantivo masculino
blase,,adjetivo
blefe,,substantivo masculino
blini,,
blitz,,substantivo feminino
