word,history,part_of_speech
lavar,,verbo transitivo
lavas,,
lavei,,
lavem,,
laves,,
lavor,,substantivo masculino
lavou,,
lavra,,substantivo feminino
lavre,,
lavro,,
lazer,,substantivo masculino
lebre,,substantivo feminino
ledas,,
ledor,,"adjetivo, substantivo masculino"
ledos,,
legal,,adjetivo
legao,,substantivo masculino
legar,,verbo transitivo
legra,,substantivo feminino
legua,,substantivo feminino
legue,,
leide,,
leigo,,adjetivo
leila,,
leino,,adjetivo
leira,,substantivo feminino
leite,,substantivo masculino
leito,,substantivo masculino
leiva,,substantivo feminino
leixe,,
leixo,,
lemes,,
lenco,,substantivo masculino
lenda,,substantivo feminino
lenha,,substantivo feminino
lenho,,substantivo masculino
lenir,,verbo transitivo
lenta,,
lente,,substantivo feminino
lento,,adjetivo
lepra,,substantivo feminino
lepto,,elemento de composicao
leque,,substantivo masculino
lerda,,
lerdo,,adjetivo
leria,,
lerpe,,
lesai,,
lesam,,
lesao,,substantivo feminino
lesar,,verbo transitivo direto e pronominal
lesas,,
lesca,,
lesei,,
lesem,,
leses,,
lesim,,substantivo masculino
lesma,,substantivo feminino
lesme,,
lesou,,
lesta,,
leste,,substantivo masculino
lesto,,adjetivo
letal,,adjetivo
letao,,adjetivo
letra,,substantivo feminino
levai,,
levam,,
levar,,verbo bitransitivo
levas,,
levei,,
level,,
levem,,
leves,,substantivo masculino plural
levou,,
lexia,,substantivo feminino
lgbti,,
lhama,,substantivo masculino e feminino
lhano,,adjetivo
liais,,
liame,,substantivo masculino
liana,,substantivo feminino
liara,,
liava,,
libai,,
libam,,
libar,,verbo transitivo
libas,,
libei,,
libem,,
liber,,substantivo masculino
libes,,
libia,,
libio,,adjetivo
libou,,
libra,,substantivo feminino
libre,,substantivo feminino
licao,,substantivo feminino
licio,,adjetivo
licor,,substantivo masculino
licra,,
lidai,,
lidam,,
lidar,,verbo transitivo indireto
lidas,,
lidei,,
lidem,,
lider,,substantivo masculino e feminino
lides,,
lidia,,
lidio,,adjetivo
lidou,,
lieis,,
ligar,,verbo transitivo direto e bitransitivo
light,,adjetivo
ligre,,
lilas,,substantivo masculino
lilia,,
lilio,,substantivo masculino
limai,,
limam,,
limao,,substantivo masculino
limar,,verbo transitivo
limas,,
limbo,,substantivo masculino
limei,,
limem,,
limes,,
limou,,
limpa,,substantivo feminino
limpe,,
limpo,,adjetivo
lince,,substantivo masculino
linda,,
linde,,substantivo masculino e feminino
lindo,,adjetivo
linfa,,substantivo feminino
linha,,substantivo feminino
linho,,substantivo masculino
linux,,
lioes,,
liras,,
liria,,substantivo feminino
lirio,,substantivo masculino
lisas,,
lisco,,
lista,,substantivo feminino
listo,,
litao,,substantivo masculino
lites,,
litio,,substantivo masculino
litro,,substantivo masculino
livel,,
livia,,
livio,,
livre,,adjetivo
livro,,substantivo masculino
lixar,,verbo transitivo direto
lixos,,
lobby,,substantivo masculino
lobis,,
lobos,,
local,,substantivo masculino
locao,,substantivo feminino
locar,,verbo transitivo direto
locas,,
locro,,
locus,,substantivo masculino
lodao,,substantivo masculino
loess,,
logar,,verbo transitivo direto e intransitivo
logos,,substantivo masculino
logra,,substantivo feminino
logro,,substantivo masculino
loica,,substantivo feminino
loios,,
loira,,adjetivo
loiro,,adjetivo
lojia,,
lolio,,substantivo masculino
lomba,,substantivo feminino
lombo,,substantivo masculino
lonca,,feminino
longa,,adjetivo
longe,,adverbio
longo,,adjetivo
lonja,,
lopes,,substantivo masculino
loque,,substantivo masculino
lorda,,
lorde,,substantivo masculino
lorfo,,
lorga,,feminino
lorpa,,substantivo masculino e feminino
losna,,substantivo feminino
lotai,,
lotar,,verbo transitivo
lotes,,
lotus,,substantivo masculino
louca,,substantivo feminino
louco,,adjetivo
loule,,
loura,,substantivo feminino
louro,,substantivo masculino
lousa,,substantivo feminino
luais,,
luana,,
luara,,
luava,,
lucas,,
lucia,,
lucio,,
lucro,,substantivo masculino
ludra,,
ludre,,
ludro,,adjetivo
lueis,,
lugar,,substantivo masculino
luges,,
lugre,,substantivo masculino
luigi,,
luisa,,
luita,,
lumen,,substantivo masculino
lumes,,
lumia,,substantivo feminino
lunar,,adjetivo
luque,,substantivo masculino
lusco,,adjetivo
lusos,,
lutai,,
lutam,,
lutar,,verbo intransitivo
lutas,,
lutei,,
lutem,,
lutes,,
lutie,,
lutou,,
luvas,,
luxai,,
luxam,,
luxar,,verbo intransitivo
luxas,,
luxei,,
luxem,,
luxes,,
luxos,,
luxou,,
luzes,,
luzia,,
luzio,,substantivo masculino
luzir,,verbo intransitivo
lycra,,substantivo feminino
macae,,
macao,,substantivo masculino
macar,,verbo transitivo
macas,,
macau,,substantivo masculino
macha,,substantivo feminino
macho,,substantivo masculino
macio,,adjetivo
macom,,substantivo masculino
macro,,prefixo
macua,,substantivo masculino
madre,,substantivo feminino
madri,,
mafia,,substantivo feminino
mafra,,substantivo feminino
mafua,,
magas,,
magda,,
magia,,substantivo feminino
magma,,substantivo masculino
magna,,adjetivo
magno,,adjetivo
magoa,,substantivo feminino
magos,,
magra,,substantivo feminino
magro,,adjetivo
maias,,
mailu,,
maine,,
maino,,adjetivo
maior,,substantivo masculino e feminino
maios,,
maira,,
mairi,,
mairo,,
maisa,,
maiso,,
major,,substantivo masculino
malar,,adjetivo
males,,
malha,,substantivo feminino
malho,,
malta,,substantivo feminino
malte,,substantivo masculino
malus,,
malva,,substantivo feminino
malvo,,substantivo masculino
mamae,,substantivo feminino
mamal,,adjetivo
mamao,,substantivo masculino
mamar,,verbo transitivo
mamba,,feminino
mambo,,substantivo masculino
mambu,,substantivo masculino
mamis,,
mamoa,,substantivo feminino
manar,,verbo transitivo
manas,,
manco,,adjetivo
manda,,substantivo feminino
mande,,
mandi,,substantivo masculino
mando,,substantivo masculino
manes,,substantivo masculino
manga,,substantivo feminino
mango,,substantivo masculino
manha,,substantivo feminino
mania,,substantivo feminino
manir,,verbo intransitivo
manja,,substantivo feminino
mansa,,
manso,,adjetivo
manta,,substantivo feminino
manto,,substantivo masculino
maome,,
maori,,adjetivo
maple,,
maraa,,
marao,,substantivo masculino
maras,,
marau,,substantivo masculino
marca,,substantivo feminino
marco,,substantivo masculino
mares,,
marga,,
maria,,substantivo feminino
mario,,
maros,,
marra,,substantivo feminino
marta,,substantivo feminino
marte,,substantivo masculino
maser,,substantivo masculino
massa,,substantivo feminino
matai,,
matam,,
matao,,
matar,,verbo transitivo direto e intransitivo
matas,,
match,,substantivo masculino
matei,,
matem,,
mates,,
matiz,,substantivo masculino
matou,,
matri,,substantivo masculino
maues,,substantivo masculino plural
maura,,substantivo masculino
mauro,,adjetivo
mause,,
meada,,substantivo feminino
meado,,adjetivo
mecha,,substantivo feminino
media,,substantivo feminino
medio,,adjetivo
medir,,"verbo transitivo direto, bitransitivo e intransitivo"
medos,,
medra,,substantivo feminino
medro,,
meias,,substantivo feminino plural
meiga,,adjetivo
meigo,,adjetivo
meios,,
meire,,
mekeo,,
melao,,substantivo masculino
melar,,verbo transitivo
meles,,
melga,,feminino
melgo,,"substantivo masculino, adjetivo"
melra,,substantivo feminino
melro,,substantivo masculino
menda,,
mendo,,
mengo,,substantivo masculino
menir,,substantivo masculino
menor,,substantivo masculino e feminino
menos,,adverbio
menso,,adjetivo
menta,,substantivo feminino
mente,,substantivo feminino
mento,,substantivo masculino
merar,,
merca,,substantivo feminino
merce,,substantivo feminino
merda,,substantivo feminino
merme,,
mermo,,
mesao,,
mesas,,
meses,,substantivo masculino plural
mesma,,substantivo feminino
mesmo,,adjetivo
meson,,substantivo masculino
messe,,substantivo feminino
mesta,,
mesto,,adjetivo
metal,,substantivo masculino
meter,,verbo transitivo
metie,,substantivo masculino
metro,,substantivo masculino
mexer,,verbo transitivo direto
miado,,substantivo masculino
miais,,
miami,,
miara,,
miava,,
micar,,verbo intransitivo
micha,,substantivo feminino
miche,,substantivo masculino
micho,,substantivo masculino
micro,,substantivo masculino
midia,,
mieis,,
migar,,verbo transitivo
migas,,
migre,,
migro,,
mijai,,
mijam,,
mijao,,"adjetivo, substantivo masculino"
mijar,,verbo intransitivo e pronominal
mijas,,
mijei,,
mijem,,
mijes,,
mijou,,
mikir,,
milha,,substantivo feminino
milho,,substantivo masculino
mimar,,verbo transitivo direto
mimir,,
minai,,
minam,,
minar,,verbo transitivo
minas,,
minei,,
minem,,
mines,,
minha,,pronome
minix,,
minos,,
minou,,
miojo,,
miola,,
miolo,,substantivo masculino
mioma,,substantivo masculino
miope,,substantivo masculino e feminino
mioto,,substantivo masculino
mirai,,
miram,,
mirar,,verbo transitivo
miras,,
mirei,,
mirem,,
mires,,
miria,,
mirou,,
mirra,,substantivo feminino
mirto,,substantivo masculino
missa,,substantivo feminino
misse,,
misso,,substantivo masculino
mista,,substantivo masculino
misto,,adjetivo
mitia,,
mitim,,
mitra,,substantivo feminino
miuda,,
miudo,,adjetivo
mixer,,
moada,,
moado,,substantivo masculino
moais,,
mocao,,substantivo feminino
mocar,,verbo transitivo
mocas,,
mocha,,substantivo feminino
moche,,substantivo masculino
mocho,,substantivo masculino
mocos,,
modal,,adjetivo
modem,,substantivo masculino
modos,,
modus,,substantivo masculino
moeda,,substantivo feminino
moega,,substantivo feminino
moeis,,
moela,,substantivo feminino
moema,,
moera,,
mofai,,
mofam,,
mofar,,verbo transitivo
mofas,,
mofei,,
mofem,,
mofes,,
mofou,,
mogao,,"adjetivo, substantivo masculino"
moger,,
mogno,,substantivo masculino
mogor,,"adjetivo, substantivo masculino"
moiam,,
moias,,
moico,,adjetivo
moido,,adjetivo
moina,,
moiro,,substantivo masculino
moita,,substantivo feminino
moito,,
molar,,adjetivo
molde,,substantivo masculino
moles,,
molha,,substantivo feminino
molhe,,substantivo masculino
molho,,substantivo masculino
monco,,substantivo masculino
monda,,substantivo feminino
monge,,substantivo masculino
monha,,substantivo feminino
monhe,,substantivo masculino
monho,,substantivo masculino
monia,,
moniz,,
monja,,substantivo feminino
monso,,adjetivo
monte,,substantivo masculino
monto,,
morai,,
moral,,substantivo feminino
moram,,
morar,,verbo transitivo indireto
moras,,
morca,,
morde,,
morei,,
morem,,
mores,,
morim,,substantivo masculino
mormo,,substantivo masculino
morno,,adjetivo
moros,,
morou,,
morre,,
morro,,substantivo masculino
morsa,,substantivo feminino
morso,,substantivo masculino
morte,,substantivo feminino
morto,,adjetivo
mosca,,substantivo feminino
mossa,,substantivo feminino
mosto,,substantivo masculino
motar,,
motel,,substantivo masculino
motim,,substantivo masculino
motor,,adjetivo
motta,,
mouco,,substantivo masculino
moura,,substantivo feminino
mouro,,substantivo masculino
mouse,,substantivo masculino
mouta,,substantivo feminino
movel,,adjetivo
movem,,
mover,,verbo transitivo
moveu,,
movia,,
moxao,,
muafo,,substantivo masculino
muana,,
mucia,,
mucio,,
mucum,,substantivo masculino
mudai,,
mudam,,
mudar,,verbo transitivo direto e bitransitivo
mudas,,
mudei,,
mudem,,
mudes,,
mudez,,substantivo feminino
mudos,,
mudou,,
mudra,,substantivo feminino
mufla,,substantivo feminino
mugir,,verbo intransitivo
muita,,substantivo masculino
muito,,substantivo masculino
mulso,,substantivo masculino
multa,,substantivo feminino
multe,,
mumia,,substantivo feminino
munde,,substantivo masculino
mundo,,substantivo masculino
munio,,
munir,,verbo transitivo
munto,,"adjetivo, adverbio"
munus,,substantivo masculino
muque,,substantivo masculino
muqui,,
murar,,verbo transitivo
murca,,substantivo feminino
murco,,substantivo masculino
muros,,
murra,,substantivo feminino
murro,,substantivo masculino
murta,,substantivo feminino
musas,,
museu,,substantivo masculino
musgo,2022-01-21 00:00:00,substantivo masculino
musme,,substantivo feminino
musse,,substantivo feminino
mutua,,substantivo feminino
mutum,,substantivo masculino
mutuo,,adjetivo
muxao,,
nabal,,substantivo masculino
nacao,,substantivo feminino
nacar,,substantivo masculino
nacem,,
nadai,,
nadam,,
nadar,,verbo intransitivo
nadas,,
nadei,,
nadem,,
nades,,
nadia,,
nadir,,substantivo masculino
nados,,
nadou,,
nafta,,substantivo feminino
nagar,,substantivo masculino
naifa,,feminino
naipe,,substantivo masculino
naira,,substantivo feminino
naite,,
nakfa,,
nalga,,substantivo feminino
nalgo,,
nanar,,verbo intransitivo
nanci,,
nanja,,adverbio
naomi,,
naque,,
nariz,,substantivo masculino
narom,,
nasal,,adjetivo
nasce,,
nassa,,substantivo feminino
natal,,substantivo masculino
natan,,
natro,,substantivo masculino
natto,,
nauns,,
nauru,,
naval,,adjetivo
navio,,substantivo masculino
necho,,
necra,,feminino
nedia,,
nedio,,adjetivo
negao,,
negar,,verbo transitivo
negra,,substantivo feminino
negre,,
negro,,substantivo masculino
negue,,
nehan,,
nelas,,
neles,,
nenem,,substantivo masculino e feminino
nenia,,substantivo feminino
nente,,adverbio
nepal,,
nereu,,
nerio,,substantivo masculino
nervo,,substantivo masculino
nesga,,substantivo feminino
nesgo,,
nessa,,contracao
nesse,,contracao
nesta,,contracao
neste,,contracao
netos,,
nevai,,
nevam,,
nevar,,verbo intransitivo
nevas,,
nevei,,
nevem,,
neves,,
nevoa,,substantivo feminino
nevou,,
nhama,,
nhoca,,
nicar,,verbo transitivo
nicha,,feminino
nicho,,substantivo feminino
nielo,,substantivo masculino
niger,,
nigua,,substantivo feminino
nilas,,substantivo masculino
nilos,,
nilza,,
nimbo,,substantivo masculino
nimio,,adjetivo
ninai,,
ninam,,
ninar,,verbo transitivo
ninas,,
ninei,,
ninem,,
nines,,
ninfa,,substantivo feminino
ninho,,substantivo masculino
ninja,,substantivo masculino
ninou,,
niple,,
nipoa,,
niqab,,
nisco,,substantivo masculino
nisso,,contracao
nisto,,contracao
nitro,,substantivo masculino
nivea,,
nivel,,substantivo masculino
niveo,,adjetivo
niver,,
nobel,,substantivo masculino
nobre,,adjetivo
nocao,,substantivo feminino
nodar,,verbo transitivo direto
nodoa,,adjetivo
noemi,,
nogai,,adjetivo
noiro,,
noite,,substantivo feminino
noiva,,substantivo feminino
noivo,,substantivo masculino
nojar,,
nomes,,
nonas,,"substantivo feminino, plural"
nonde,,substantivo masculino
nonos,,
noras,,
norma,,substantivo feminino
normo,,
norsa,,
norte,,substantivo masculino
nossa,,interjeicao
nosso,,pronome possessivo
notar,2022-01-20 00:00:00,verbo transitivo
notas,,
notem,,
notou,,
nouca,,feminino
noute,,substantivo feminino
novas,,
novel,,adjetivo
noves,,
novos,,substantivo masculino plural
noxio,,adjetivo
nubea,,
nubeo,,
nubia,,
nubil,,adjetivo
nubio,,substantivo masculino
nucao,,substantivo feminino
nudes,,
nudez,,substantivo feminino
nuele,,
nuelo,,adjetivo
numas,,
nunca,,adverbio
nuvem,,substantivo feminino
nuveo,,adjetivo
nuvre,,feminino
nylon,,substantivo masculino
oasis,,substantivo masculino
obeso,,adjetivo
obice,,substantivo masculino
obito,,substantivo masculino
oboes,,
obolo,,substantivo masculino
obrai,,
obram,,
obrar,,verbo transitivo
obras,,
obrei,,
obrem,,
obres,,
obrou,,
obsta,,
obste,,
obsto,,
obter,,verbo transitivo direto e bitransitivo
obvio,,adjetivo
ocapi,,substantivo masculino
ocara,,substantivo feminino
ocaso,,substantivo masculino
octal,,
oculo,,substantivo masculino
ocupa,,
odeao,,substantivo masculino
odeom,,
odeon,,
odiar,,verbo transitivo
odios,,
oeste,,substantivo masculino
ofuro,,substantivo masculino
ogham,,
ogiva,,substantivo feminino
oirar,,verbo intransitivo
oitao,,substantivo masculino
oitos,,
olear,,verbo transitivo
olhai,,
olhao,,
olhar,,verbo bitransitivo e pronominal
olhos,,substantivo masculino
oliva,,substantivo feminino
olive,,
olivo,,
ombro,,substantivo masculino
omega,,substantivo masculino
omnia,,
oncas,,
ondas,,
ontem,,adverbio
opaca,,
opaco,,adjetivo
opala,,substantivo feminino
opcao,,substantivo feminino
opera,,substantivo feminino
opere,,
opero,,
opimo,,adjetivo
opine,,
opino,,
optai,,
optam,,
optar,,verbo transitivo indireto e intransitivo
optas,,
optei,,
optem,,
optes,,
optou,,
oquei,,
oraca,,
orais,,
orara,,
orate,,substantivo masculino
orava,,
orcar,,verbo transitivo
ordem,,substantivo feminino
oreis,,
orfao,,adjetivo
orfas,,
orfeu,,
orgao,,substantivo masculino
orgia,,substantivo feminino
oriao,,
oribi,,
orina,,
orion,,
orixa,,substantivo feminino
orlar,,verbo transitivo
ornai,,
ornam,,
ornar,,verbo transitivo
ornas,,
ornei,,
ornem,,
ornes,,
ornis,,substantivo masculino
ornou,,
orobo,,substantivo masculino
oroco,,
oromo,,
osaca,,
osaka,,
oscar,,substantivo masculino
osmar,,
osmio,,substantivo masculino
osram,,
ossea,,
osseo,,adjetivo
ossos,,
ostra,,substantivo feminino
ostro,,substantivo masculino
otaku,,
otava,,
otica,,substantivo feminino
otico,,adjetivo
otimo,,adjetivo
otite,,substantivo feminino
ougar,,verbo intransitivo
ouija,,
ourai,,
ouram,,
ourar,,verbo intransitivo
ouras,,
ourei,,
ourem,,substantivo masculino
oures,,
ouros,,
ourou,,
ousar,,verbo transitivo direto e transitivo indireto
ousas,,
ousou,,
outao,,substantivo masculino
outra,,pronome
outro,,pronome
ouvia,,
ouvir,,verbo transitivo direto
ouviu,,
ovino,,adjetivo
ovulo,,substantivo masculino
oxala,,interjeicao
oxide,,
oxido,,substantivo masculino
pabla,,
pablo,,
pacas,,adverbio
pacer,,
pacos,,
pacto,,substantivo masculino
padel,,
padre,,substantivo masculino
paeja,,
pafia,,substantivo feminino
pafio,,adjetivo
pafos,,
pagao,,adjetivo
pagar,,"verbo transitivo direto, transitivo indireto e bitransitivo"
pager,,substantivo masculino
pague,,
paial,,
paiba,,
paica,,substantivo feminino
pains,,
paiol,,substantivo masculino
paire,,
pairo,,substantivo masculino
paiva,,
paixa,,substantivo feminino
pajem,,substantivo masculino
palao,,substantivo masculino
palas,,
palau,,
palco,,substantivo masculino
palha,,substantivo feminino
palie,,
palio,,substantivo masculino
palma,,substantivo feminino
palme,,
palmo,,substantivo masculino
palop,,substantivo masculino
palor,,substantivo masculino
palpo,,substantivo masculino
palra,,substantivo feminino
pampa,,substantivo masculino
pampo,,substantivo masculino
panal,,substantivo masculino
panca,,substantivo masculino
panda,,substantivo masculino
pando,,adjetivo
pandu,,
pango,,substantivo masculino
panos,,substantivo masculino plural
panta,,
paola,,
paolo,,
papai,,substantivo masculino
papal,,adjetivo
papao,,substantivo masculino
papar,,verbo transitivo e intransitivo
papel,,substantivo masculino
paper,,substantivo masculino
parai,,
param,,
parar,,"verbo transitivo direto, transitivo indireto e intransitivo"
paras,,
parau,,substantivo masculino
parba,,
parca,,adjetivo
parco,,adjetivo
pardo,,adjetivo
parea,,
parei,,
parem,,
pareo,,substantivo masculino
pares,,
parga,,substantivo feminino
pargo,,substantivo masculino
paria,,substantivo masculino e feminino
pario,,substantivo masculino
parir,,verbo transitivo direto
paris,,
pariu,,
parla,,feminino
parou,,
parra,,substantivo feminino
parro,,substantivo masculino
parte,,substantivo feminino
parto,,substantivo masculino
parva,,adjetivo
parvo,,adjetivo
pasmo,,substantivo masculino
passa,,substantivo feminino
passe,,substantivo masculino
passo,,substantivo masculino
paste,,
pasto,,substantivo masculino
patas,,
patau,,substantivo masculino
patch,,
patia,,
patim,,substantivo masculino
patio,,substantivo masculino
patis,,
patoa,,substantivo masculino
patos,,substantivo masculino singular e plural
patua,,substantivo masculino
pauis,,
paula,,
paulo,,substantivo masculino
pausa,,substantivo feminino
pauta,,substantivo feminino
paute,,
pauto,,substantivo masculino
pavao,,substantivo masculino
pavia,,
pavio,,substantivo masculino
pavoa,,
pavor,,substantivo masculino
pazes,,substantivo feminino plural
pcdob,,sigla
pecar,,verbo transitivo indireto e intransitivo
pecas,,
pecha,,substantivo feminino
pedal,,substantivo masculino
pedes,,
pedia,,
pedir,,"verbo transitivo direto, bitransitivo e intransitivo"
pediu,,
pedra,,substantivo feminino
pedro,,
pegar,,verbo transitivo direto e transitivo indireto
pegou,,
peida,,
peido,,substantivo masculino
peina,,feminino
peite,,
peito,,substantivo masculino
peixa,,
peixe,,substantivo masculino
pejar,,verbo transitivo
pelai,,
pelam,,
pelar,,verbo transitivo direto e pronominal
pelas,,
pelei,,
pelem,,"substantivo masculino, adjetivo"
peles,,
peleu,,
pelos,,
pelou,,
pemba,,substantivo feminino
penai,,
penal,,adjetivo
penam,,
penar,,verbo intransitivo e pronominal
penas,,
penca,,substantivo feminino
pence,,substantivo feminino
pende,,
penei,,
penem,,
penes,,
penha,,substantivo feminino
penis,,substantivo masculino
penny,,substantivo masculino
penou,,
pense,,
penso,,substantivo masculino
pente,,substantivo masculino
peoes,,
peona,,substantivo feminino
pequi,,substantivo masculino
peras,,
perca,,substantivo feminino
perda,,substantivo feminino
perde,,
perdi,,
perla,,substantivo feminino
perle,,
perlo,,
perna,,substantivo feminino
perro,,substantivo masculino
persa,,adjetivo
perto,,adverbio
perua,,substantivo feminino
perus,,
pesai,,
pesam,,
pesar,,substantivo masculino
pesas,,
pesca,,
pesco,,
pesei,,
pesem,,
peses,,
pesou,,
peste,,substantivo feminino
petar,,verbo intransitivo
petiz,,substantivo masculino
petra,,feminino
peuga,,substantivo feminino
peuva,,substantivo feminino
piaba,,substantivo feminino
piada,,substantivo feminino
pialo,,substantivo masculino
piano,2022-01-19 00:00:00,substantivo masculino
piara,,substantivo feminino
piata,,
piaui,,
piava,,substantivo feminino
picao,,substantivo masculino
picar,,verbo transitivo e intransitivo
picas,,pronome
picha,,substantivo feminino
piche,,
picho,,substantivo masculino
picle,,
picos,,
picui,,substantivo masculino
picum,,
pieis,,
piema,,
piese,,substantivo feminino
pifao,,substantivo masculino
pifar,,verbo intransitivo
pifio,,adjetivo
pilai,,
pilam,,
pilao,,substantivo masculino
pilar,,substantivo masculino
pilas,,
pilei,,
pilem,,
piles,,
pilha,,substantivo feminino
pilhe,,
pilho,,substantivo masculino
pilio,,
pilou,,
pilum,,
pimba,,interjeicao
pinca,,
pinel,,substantivo masculino e feminino
pineu,,adjetivo
pinga,,substantivo feminino
pingo,,substantivo masculino
pinha,,substantivo feminino
pinho,,substantivo masculino
pinta,,substantivo feminino
pinte,,
pinto,,substantivo masculino
piola,,substantivo feminino
piora,,substantivo feminino
piore,,
pioro,,
pique,,substantivo masculino
piqui,,substantivo masculino
pirai,,substantivo masculino
pirao,,substantivo masculino
pirar,,verbo intransitivo
pires,,substantivo masculino
pirex,,substantivo masculino
pirou,,
pirro,,
pirua,,substantivo masculino
pisai,,
pisam,,
pisar,,verbo transitivo direto e bitransitivo
pisas,,
pisca,,
pisco,,substantivo masculino
pisei,,
pisem,,
pises,,
pisou,,
pista,,substantivo feminino
pisto,,
pitao,,substantivo masculino
piteu,,substantivo masculino
piuma,,
pivot,,
pixel,,substantivo masculino
pizza,,substantivo feminino
placa,,substantivo feminino
plaga,,substantivo feminino
plana,,adjetivo
plane,,
plano,,adjetivo
plato,,
plebe,,substantivo feminino
plena,,adjetivo
pleno,,adjetivo
plica,,substantivo feminino
pluma,,substantivo feminino
pneus,,
pobre,,substantivo masculino e feminino
pocao,,substantivo masculino
pocar,,verbo transitivo direto
pocha,,
pocos,,
podao,,substantivo masculino
podar,,verbo transitivo
podem,,
poder,,verbo transitivo direto e intransitivo
podia,,
podio,,substantivo masculino
podoa,,substantivo feminino
podre,,adjetivo
poejo,,substantivo masculino
poema,,substantivo masculino
poeta,,substantivo masculino
poial,,substantivo masculino
poisa,,substantivo feminino
poita,,substantivo feminino
poite,,
poito,,
pojai,,
pojam,,
pojar,,verbo transitivo e intransitivo
pojas,,
pojei,,
pojem,,
pojes,,
pojou,,
polar,,adjetivo
polas,,
polca,,substantivo feminino
polen,,substantivo masculino
polho,,substantivo masculino
polia,,substantivo feminino
polir,,verbo transitivo
polis,,substantivo feminino
polos,,
polpa,,substantivo feminino
polvo,,substantivo masculino
pomar,,substantivo masculino
pomba,,substantivo feminino
pombo,,substantivo masculino
pomes,,substantivo masculino singular e plural
pomos,,
pompa,,substantivo feminino
ponde,,
ponei,,substantivo masculino
ponho,,
ponta,,substantivo feminino
ponte,,substantivo feminino
ponto,,substantivo masculino
popos,,
porao,,substantivo masculino
poras,,
porca,,substantivo masculino
porco,,substantivo masculino
porem,,conjuncao
porno,,
porra,,substantivo feminino
porre,,substantivo masculino
porro,,substantivo masculino
porta,,substantivo feminino
porte,,substantivo masculino
porto,,substantivo masculino
posar,,verbo transitivo indireto e intransitivo
posem,,
possa,,substantivo deverbal
posse,,substantivo feminino
posso,,substantivo deverbal
posta,,substantivo feminino
poste,,substantivo masculino
posto,,substantivo masculino
potim,,
potra,,substantivo feminino
potro,,substantivo masculino
pouca,,adverbio
pouco,,adverbio
poula,,
poule,,
poulo,,
pound,,
poupa,,substantivo feminino
poupe,,
poupo,,
pousa,,substantivo feminino
pouso,,substantivo masculino
pouta,,feminino
povoa,,substantivo feminino
povos,,
praca,,substantivo feminino
prado,,substantivo masculino
praga,,substantivo feminino
praia,,substantivo feminino
prali,,
prata,,substantivo feminino
prato,,substantivo masculino
praxa,,
praxe,,substantivo feminino
prazo,,substantivo masculino
preao,,
prebe,,
prece,,substantivo feminino
preco,,substantivo masculino
prega,,substantivo feminino
prego,,substantivo masculino
preia,,substantivo feminino
preju,,
prelo,,substantivo masculino
presa,,substantivo feminino
prese,,
preso,,adjetivo
preta,,adjetivo
preto,,adjetivo
preza,,
preze,,
prezo,,
prima,,substantivo feminino
primo,,substantivo masculino
prior,,substantivo masculino
proas,,
probo,,adjetivo
proce,,
proer,,
profe,,
prois,,
prole,,substantivo feminino
prona,,
prono,,adjetivo
prosa,,substantivo feminino
proto,,elemento de composicao
prova,,substantivo feminino
prove,,substantivo deverbal
provo,,substantivo masculino
pruir,,verbo intransitivo
prumo,,substantivo masculino
psoas,,substantivo masculino singular e plural
ptdob,,
ptose,,substantivo feminino
puara,,
puava,,"adjetivo, substantivo masculino e feminino"
pubis,,substantivo masculino
pucha,,
puder,,substantivo deverbal
pudim,,substantivo masculino
pudor,,substantivo masculino
puela,,substantivo feminino
puera,,
pugil,,substantivo masculino
pujai,,
pujam,,
pujar,,verbo transitivo e intransitivo
pujas,,
pujei,,
pujem,,
pujes,,
pujou,,
pular,,verbo intransitivo
pulga,,
pulgo,,substantivo masculino
pulha,,substantivo feminino
pulse,,
pulso,,substantivo masculino
punas,,
punga,,adjetivo
punha,,substantivo deverbal
punho,,substantivo masculino
punir,,"verbo transitivo direto, bitransitivo e pronominal"
puras,,
purga,,substantivo feminino
putao,,
putas,,
putos,,
puxai,,
puxam,,
puxao,,substantivo masculino
puxar,,verbo transitivo direto
puxas,,
puxei,,
puxem,,
puxes,,
puxou,,
qatar,,
quais,,"pronome, plural"
quare,,
quark,,substantivo masculino
quaro,,substantivo masculino
quase,,adverbio
quasi,,
quata,,substantivo masculino
quati,,substantivo masculino
queca,,
queda,,substantivo feminino
quede,,adverbio
quedo,,adjetivo
quepe,,substantivo masculino
quero,,
queto,,adjetivo
quibe,,substantivo masculino
quica,,adverbio
quico,,
quilo,,substantivo masculino
quina,,substantivo feminino
quipa,,
quite,,adjetivo
quito,,substantivo masculino
quiui,,substantivo masculino
quivi,,substantivo masculino
quixo,,substantivo masculino
quota,,substantivo feminino
rabao,,adjetivo
rabat,,
rabaz,,adjetivo masculino e feminino
rabil,,substantivo masculino
racao,,substantivo feminino
racas,,
racha,,substantivo feminino
rache,,
racho,,
racum,,
radao,,
radar,,substantivo masculino
radio,,substantivo masculino
radon,,
rafai,,
rafam,,
rafar,,verbo transitivo
rafas,,
rafei,,
rafem,,
rafes,,
rafou,,
raial,,substantivo masculino
raiar,,verbo intransitivo
raide,,
raion,,
raios,,
raiva,,substantivo feminino
rajar,,verbo transitivo
ralai,,
ralam,,
ralar,,verbo transitivo
ralas,,
ralei,,
ralem,,
rales,,
